max_depth,criterion,max_features,class_weight,n_estimators,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
5,entropy,0.8,balanced,240,0.01,0.853,0.808,0.881,0.843,0.931
5,entropy,0.8,balanced_subsample,240,0.0,0.874,0.853,0.868,0.861,0.944
5,entropy,0.8,balanced_subsample,240,0.001,0.874,0.854,0.869,0.861,0.944
5,entropy,0.8,balanced_subsample,240,0.01,0.86,0.819,0.882,0.849,0.931
5,entropy,0.8,,240,0.0,0.874,0.855,0.865,0.86,0.944
5,entropy,0.8,,240,0.001,0.873,0.85,0.87,0.86,0.944
5,entropy,0.8,,240,0.01,0.859,0.819,0.881,0.849,0.931
7,entropy,sqrt,balanced,240,0.0,0.883,0.862,0.879,0.87,0.951
7,entropy,sqrt,balanced,240,0.001,0.88,0.858,0.878,0.868,0.949
7,entropy,sqrt,balanced,240,0.01,0.873,0.847,0.874,0.86,0.943
7,entropy,sqrt,balanced_subsample,240,0.0,0.883,0.863,0.877,0.87,0.951
7,entropy,sqrt,balanced_subsample,240,0.001,0.88,0.857,0.879,0.868,0.949
7,entropy,sqrt,balanced_subsample,240,0.01,0.871,0.845,0.871,0.858,0.942
7,entropy,sqrt,,240,0.0,0.882,0.862,0.878,0.87,0.951
7,entropy,sqrt,,240,0.001,0.879,0.855,0.88,0.867,0.949
7,entropy,sqrt,,240,0.01,0.872,0.842,0.881,0.861,0.943
7,entropy,log2,balanced,240,0.0,0.883,0.863,0.877,0.87,0.951
7,entropy,log2,balanced,240,0.001,0.88,0.857,0.879,0.868,0.95
7,entropy,log2,balanced,240,0.01,0.871,0.84,0.881,0.86,0.942
7,entropy,log2,balanced_subsample,240,0.0,0.882,0.864,0.876,0.87,0.951
7,entropy,log2,balanced_subsample,240,0.001,0.88,0.857,0.879,0.868,0.95
7,entropy,log2,balanced_subsample,240,0.01,0.873,0.844,0.878,0.861,0.943
7,entropy,log2,,240,0.0,0.882,0.862,0.878,0.87,0.951
7,entropy,log2,,240,0.001,0.88,0.858,0.878,0.868,0.95
7,entropy,log2,,240,0.01,0.873,0.844,0.88,0.862,0.944
7,entropy,,balanced,240,0.0,0.882,0.863,0.876,0.87,0.951
7,entropy,,balanced,240,0.001,0.879,0.857,0.877,0.867,0.948
7,entropy,,balanced,240,0.01,0.855,0.81,0.885,0.846,0.931
7,entropy,,balanced_subsample,240,0.0,0.882,0.863,0.876,0.87,0.951
7,entropy,,balanced_subsample,240,0.001,0.879,0.857,0.877,0.867,0.948
7,entropy,,balanced_subsample,240,0.01,0.855,0.809,0.885,0.846,0.931
7,entropy,,,240,0.0,0.882,0.862,0.877,0.87,0.951
7,entropy,,,240,0.001,0.879,0.856,0.877,0.867,0.948
7,entropy,,,240,0.01,0.853,0.806,0.885,0.843,0.931
7,entropy,0.5,balanced,240,0.0,0.881,0.861,0.876,0.869,0.951
7,entropy,0.5,balanced,240,0.001,0.879,0.855,0.878,0.866,0.948
7,entropy,0.5,balanced,240,0.01,0.864,0.833,0.872,0.852,0.934
7,entropy,0.5,balanced_subsample,240,0.0,0.882,0.863,0.876,0.869,0.951
7,entropy,0.5,balanced_subsample,240,0.001,0.878,0.854,0.879,0.866,0.948
7,entropy,0.5,balanced_subsample,240,0.01,0.864,0.833,0.87,0.851,0.934
7,entropy,0.5,,240,0.0,0.882,0.861,0.877,0.869,0.95
7,entropy,0.5,,240,0.001,0.878,0.853,0.879,0.866,0.948
7,entropy,0.5,,240,0.01,0.865,0.833,0.875,0.854,0.935
7,entropy,0.8,balanced,240,0.0,0.882,0.863,0.877,0.87,0.951
