max_depth,criterian,splitter,max_features,class_weight_o,class_weight_1,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
3,gini,random,0.7,1,2,0.01,0.769,0.685,0.899,0.777,0.858
3,gini,random,0.7,2,4,0.0,0.766,0.677,0.91,0.777,0.887
3,gini,random,0.7,2,4,0.001,0.793,0.712,0.905,0.797,0.879
3,gini,random,0.7,2,4,0.01,0.813,0.74,0.898,0.811,0.862
3,gini,random,0.7,3,6,0.0,0.828,0.801,0.821,0.811,0.903
3,gini,random,0.7,3,6,0.001,0.829,0.776,0.869,0.82,0.899
3,gini,random,0.7,3,6,0.01,0.829,0.776,0.869,0.82,0.85
3,gini,random,0.7,4,8,0.0,0.818,0.782,0.824,0.803,0.894
3,gini,random,0.7,4,8,0.001,0.82,0.749,0.899,0.817,0.896
3,gini,random,0.7,4,8,0.01,0.769,0.685,0.899,0.777,0.862
3,gini,random,0.7,5,10,0.0,0.814,0.759,0.856,0.805,0.882
3,gini,random,0.7,5,10,0.001,0.809,0.761,0.837,0.797,0.884
3,gini,random,0.7,5,10,0.01,0.809,0.761,0.837,0.797,0.856
3,gini,random,0.6,1,2,0.0,0.809,0.773,0.813,0.792,0.866
3,gini,random,0.6,1,2,0.001,0.808,0.758,0.838,0.796,0.882
3,gini,random,0.6,1,2,0.01,0.822,0.815,0.781,0.798,0.863
3,gini,random,0.6,2,4,0.0,0.813,0.753,0.868,0.806,0.879
3,gini,random,0.6,2,4,0.001,0.816,0.863,0.699,0.773,0.855
3,gini,random,0.6,2,4,0.01,0.808,0.765,0.823,0.793,0.845
3,gini,random,0.6,3,6,0.0,0.81,0.757,0.851,0.801,0.868
3,gini,random,0.6,3,6,0.001,0.819,0.756,0.88,0.813,0.882
3,gini,random,0.6,3,6,0.01,0.818,0.782,0.824,0.803,0.857
3,gini,random,0.6,4,8,0.0,0.789,0.706,0.909,0.794,0.879
3,gini,random,0.6,4,8,0.001,0.805,0.734,0.887,0.803,0.879
3,gini,random,0.6,4,8,0.01,0.809,0.761,0.837,0.797,0.854
3,gini,random,0.6,5,10,0.0,0.826,0.8,0.814,0.807,0.888
3,gini,random,0.6,5,10,0.001,0.774,0.758,0.728,0.743,0.843
3,gini,random,0.6,5,10,0.01,0.769,0.685,0.899,0.777,0.858
3,gini,random,0.5,1,2,0.0,0.808,0.737,0.888,0.805,0.884
3,gini,random,0.5,1,2,0.001,0.798,0.732,0.865,0.793,0.86
3,gini,random,0.5,1,2,0.01,0.809,0.761,0.837,0.797,0.843
3,gini,random,0.5,2,4,0.0,0.822,0.807,0.79,0.799,0.883
3,gini,random,0.5,2,4,0.001,0.828,0.801,0.821,0.811,0.887
3,gini,random,0.5,2,4,0.01,0.751,0.651,0.957,0.775,0.855
3,gini,random,0.5,3,6,0.0,0.823,0.805,0.799,0.802,0.88
3,gini,random,0.5,3,6,0.001,0.755,0.661,0.931,0.773,0.877
3,gini,random,0.5,3,6,0.01,0.643,0.559,0.958,0.706,0.789
3,gini,random,0.5,4,8,0.0,0.829,0.802,0.82,0.811,0.886
3,gini,random,0.5,4,8,0.001,0.788,0.719,0.864,0.785,0.876
3,gini,random,0.5,4,8,0.01,0.811,0.776,0.813,0.794,0.862
3,gini,random,0.5,5,10,0.0,0.769,0.675,0.934,0.783,0.878
3,gini,random,0.5,5,10,0.001,0.755,0.661,0.931,0.773,0.868
3,gini,random,0.5,5,10,0.01,0.769,0.685,0.899,0.777,0.842
3,entropy,best,sqrt,1,2,0.0,0.796,0.764,0.788,0.776,0.85
3,entropy,best,sqrt,1,2,0.001,0.722,0.629,0.926,0.749,0.851
3,entropy,best,sqrt,1,2,0.01,0.809,0.754,0.85,0.799,0.875
3,entropy,best,sqrt,2,4,0.0,0.817,0.768,0.847,0.806,0.886
3,entropy,best,sqrt,2,4,0.001,0.809,0.754,0.85,0.799,0.88
3,entropy,best,sqrt,2,4,0.01,0.804,0.736,0.877,0.8,0.878
3,entropy,best,sqrt,3,6,0.0,0.774,0.711,0.835,0.768,0.84
3,entropy,best,sqrt,3,6,0.001,0.831,0.791,0.846,0.817,0.903
3,entropy,best,sqrt,3,6,0.01,0.776,0.687,0.916,0.785,0.867
3,entropy,best,sqrt,4,8,0.0,0.715,0.634,0.856,0.729,0.828
3,entropy,best,sqrt,4,8,0.001,0.774,0.758,0.728,0.743,0.833
3,entropy,best,sqrt,4,8,0.01,0.809,0.754,0.85,0.799,0.872
3,entropy,best,sqrt,5,10,0.0,0.757,0.672,0.896,0.768,0.874
3,entropy,best,sqrt,5,10,0.001,0.781,0.75,0.768,0.759,0.845
3,entropy,best,sqrt,5,10,0.01,0.809,0.761,0.837,0.797,0.882
3,entropy,best,log2,1,2,0.0,0.817,0.768,0.847,0.806,0.883
3,entropy,best,log2,1,2,0.001,0.829,0.776,0.869,0.82,0.887
3,entropy,best,log2,1,2,0.01,0.809,0.761,0.837,0.797,0.851
3,entropy,best,log2,2,4,0.0,0.824,0.793,0.822,0.807,0.895
3,entropy,best,log2,2,4,0.001,0.811,0.784,0.798,0.791,0.87
3,entropy,best,log2,2,4,0.01,0.757,0.672,0.896,0.768,0.85
3,entropy,best,log2,3,6,0.0,0.819,0.855,0.718,0.781,0.865
3,entropy,best,log2,3,6,0.001,0.784,0.705,0.891,0.787,0.871
3,entropy,best,log2,3,6,0.01,0.824,0.802,0.806,0.804,0.89
3,entropy,best,log2,4,8,0.0,0.773,0.698,0.868,0.774,0.875
